t,temp_C,pressure_bar,rpm,torque_Nm,current_A,voltage_V,flow_Lmin,vibration_g,humidity_pct,position_norm,accel_x_g,accel_y_g,label
0,35.09285198508026,1.7668359870280186,1500.1556615503205,108.79406994327539,8.446584476441414,23.97460942050592,12.043295930398026,0.3603155718256581,45.19566801234715,0.5080459205559025,-0.036208373646930025,0.037584993339021475,0
1,35.08133678988614,1.80324053317625,1499.9215775220102,109.795448707571,8.5070980352899,23.96371727779309,11.90830695864698,0.3772058516535032,44.89454309687121,0.5199961431706055,0.01950722494659235,-9.587763955392486e-05,0
2,35.11717115683637,1.787383875010265,1498.6829053189883,107.84179393573113,8.46352392163701,24.01442282345736,12.047329511052178,0.36508297943584067,45.39846858815625,0.5273230358814877,0.010540871912803895,0.009621759397966008,0
3,35.1505283809329,1.7955814850694143,1499.4193710723985,108.84626792481828,8.481461170161387,24.010179704942143,11.966599243794294,0.3640377283402657,44.81587409599314,0.4991353613753971,-0.0066745153355278995,0.02217837046882692,0
4,35.096143023754216,1.7830052981907791,1505.1316306179547,109.81257129160998,8.513228426973903,23.939560610691544,12.040666114529781,0.37065288409615293,44.583764711743605,0.5202113567993824,-0.011423987388281803,0.0390867563910456,0
5,35.05711590618315,1.7754853595690354,1499.917525779686,108.57663119760419,8.422748100174163,23.971621795633702,11.944740921331029,0.35934968778391063,44.48381440542257,0.5086375646243213,0.021082330502392173,0.033634233506203585,0
6,35.10184402870674,1.7535016437693565,1496.8218238948778,109.01679499985687,8.566774973263172,24.015679054035303,11.89255250645447,0.3540809944485524,45.184425698355156,0.5263608313585197,0.012269372749709292,0.007159020289808943,0
7,35.12227300910731,1.739974800760962,1499.917667442844,107.63471930424069,8.447003474403973,24.01111012339851,11.874043662339849,0.3818165785273482,44.813461505906965,0.5228900764781198,0.0333088325476351,0.021347224355253467,0
8,34.959659994189884,1.7122103132972908,1499.2093461314541,105.14413910944228,8.416655518931574,24.003813882629228,11.92394400994655,0.35865033606306645,44.96620798567096,0.5179073671515291,0.0010934704718502733,-0.0059169934858400676,0
9,35.01262442364998,1.7091022866049204,1500.5783293862548,106.31714153603265,8.395048974640536,24.036309377949944,11.901600743139475,0.3541040176083515,45.25526136180136,0.5162586178586549,0.007740221697199911,-0.004413047586971598,0
10,35.04935697847457,1.7683973501054175,1499.580486100784,108.66053073226873,8.490926468956804,23.973614152166046,11.833164210314383,0.3601844398064982,45.11368095371138,0.5272931169124153,0.041855377543925806,-0.0029764514045472995,0
11,35.31886554323606,1.7245646790172182,1499.167373106711,107.36000667730542,8.554642455377346,23.998779044962895,11.986728483048958,0.35737751281513336,44.7805423478422,0.5250125674535359,-0.0018116203406873393,-0.012827344235740742,0
12,35.40033913741555,1.734017872441355,1498.1520857881408,105.87080425537894,8.376957514837825,24.03912758008404,12.02828818521155,0.3641936035142203,45.500061378858454,0.5319786352431011,-0.009641105995784532,0.012906973938052062,0
13,35.086701201681215,1.8266804342647474,1503.3541599516525,110.79431078391802,8.463723922777088,24.003123017172125,12.06470226195891,0.3509505829485309,45.080630145167696,0.5401767151064355,0.002247454978849938,0.015860785624865478,0
14,35.50157524384073,1.7944859804414617,1504.3681596047973,109.67535868123935,8.451148430614227,24.03396449269346,12.04025876051523,0.3486149529674102,45.17038337354017,0.5388695615658371,0.021148910862956033,-0.015411550654228865,0
15,35.34147843421741,1.786419150073,1501.7445518340808,108.29370553411147,8.448602250118322,23.9918764020399,11.940198150752163,0.3419572377859148,44.98747777494176,0.5406789760670792,0.04995226287822033,-0.008134283805361821,0
16,35.470440281683366,1.7458588155050805,1499.6997053704551,108.11047517148513,8.437110668393267,24.00348052806778,11.98750937940813,0.3685776512318504,44.91562068818139,0.5549244852579772,0.013115481660375084,-0.02112661348822402,0
17,35.4023198083764,1.7265590212666815,1504.401502794239,107.52397219887177,8.406071319592764,23.97723768982748,11.961526105046278,0.3392491625513819,45.227778607095175,0.558156629208026,-0.006752629656733849,-0.03206352710058609,0
18,35.55119335819923,1.7659145558078984,1496.8396696129935,105.41177607532552,8.410552511993469,23.970419591911256,11.970781297632197,0.38034364757211336,44.859170905040216,0.5439923632402998,-0.013024406382905158,-0.03974441186685861,0
19,35.44555853310817,1.7565534037523862,1499.6492735803306,108.74699304567604,8.550026416980364,24.015222039941584,12.048419707778892,0.3687558958557999,45.21075300143496,0.5571912095400348,0.008051446369616754,0.01511648347140122,0
20,35.29951555637865,1.776098679064305,1497.738531278377,108.08807048027914,8.451261937822906,24.04750179417521,11.949886802933733,0.34023278925320843,45.63447683766214,0.5509619733485259,-0.03876349818331126,-0.03640504562197008,0
21,35.41597268111917,1.7621963092663244,1504.6600043037872,105.59284861868605,8.411661335108773,24.03326854267017,11.825872245881119,0.359434232877271,45.412725965700865,0.5916219542528991,-0.04327427277288766,-0.008535495607332522,0
22,35.5442445053578,1.8428746039718915,1503.424648920891,108.0059720208451,8.477098219983768,24.07106641440066,12.067574121582545,0.37284554276294585,45.33869985978415,0.5587523310580816,-0.004748535512512638,-0.013810855766316736,0
23,35.481056748877094,1.7496914068177587,1502.6792620075141,107.62474404947152,8.482280040058356,24.025811298564207,12.027091630215773,0.3692350018010203,45.02107790913012,0.5719247965885468,0.004205291385883962,-0.046714562166565346,0
24,35.56662366381738,1.7583575058056844,1500.8716521163985,106.56859682456486,8.507185916515425,23.974720542687297,11.985510749600328,0.35716875828421946,45.27724043229508,0.576393900456691,0.006615777436220554,-0.010966461192226641,0
25,35.4947395244493,1.700712157885403,1494.4417325570907,107.92118575744993,8.471631847601904,24.051176874068318,11.837008132419577,0.3574771716680394,45.0932807327798,0.5631979422934588,-0.008987960828801378,-0.014070101615914817,0
26,35.47677796197511,1.7466155760135158,1495.9702140985287,107.85259230363954,8.456568728241406,24.01038925522643,11.88819076235483,0.3727001792402097,45.68816020370794,0.5644972938474356,0.004971898690420178,-0.01999893219517352,0
27,35.45506976878922,1.7393877204446881,1494.4169153534763,104.89709111684405,8.34446981559877,24.051308468607825,11.900867372914417,0.364599294502933,45.2376294165636,0.5734094274915629,-0.030057618371488765,-0.030537537904014336,0
28,35.55273405526695,1.7284049783740476,1496.3992949045403,105.62142056936972,8.440082707740604,23.977504384014367,11.933765970516456,0.3755511770294037,45.18992946762346,0.5726322748079437,-0.03745482980544282,-0.021681138496411796,0
29,35.640345436402924,1.7258233884070517,1490.1393118011636,104.3013651949034,8.340556301011675,24.04218892515079,11.92288534572566,0.36470326467160197,45.36292644096301,0.5826951025497323,-0.029569105934923904,-0.00871230098516964,0
30,35.51934769651109,1.8022299978657708,1497.7929959501776,104.96444368437753,8.353159037946352,24.072508805449786,11.970018004894376,0.36415470210449,45.3211804065433,0.5779561894204368,-0.021548677858630162,-0.032193103285151646,0
